restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KUMBAKONATHAR TIFFEN STALL,Idly 2 Pcs,,19,,,,0,0,veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,1
KUMBAKONATHAR TIFFEN STALL,Pongal,,47,,,,0,0,veg,,,08:00AM,12:00PM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,2
KUMBAKONATHAR TIFFEN STALL,Poori 2 Pcs,,47,,,,0,0,veg,,,08:00AM,12:00PM,,,,,"1,2,3,4,5,6,7",1,,Tiffin Items,,0,,1,3
KUMBAKONATHAR TIFFEN STALL,Dosai,,35,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,1
KUMBAKONATHAR TIFFEN STALL,Roast,,59,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,2
KUMBAKONATHAR TIFFEN STALL,Onion Dosai,,82,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,3
KUMBAKONATHAR TIFFEN STALL,Garlic Dosai,,82,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,4
KUMBAKONATHAR TIFFEN STALL,Podi Dosai,,82,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,5
KUMBAKONATHAR TIFFEN STALL,Masal Dosai,,82,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,6
KUMBAKONATHAR TIFFEN STALL,Salem Dosai,,24,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,7
KUMBAKONATHAR TIFFEN STALL,Uthappam,,59,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,8
KUMBAKONATHAR TIFFEN STALL,Vattam,,35,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,9
KUMBAKONATHAR TIFFEN STALL,Egg Dosai,,82,,,,0,0,Non Veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,10
KUMBAKONATHAR TIFFEN STALL,Salem Egg Dosai,,47,,,,0,0,Non Veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,11
KUMBAKONATHAR TIFFEN STALL,Egg Vattam,,47,,,,0,0,Non Veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special,,0,,2,12
KUMBAKONATHAR TIFFEN STALL,Parotta 2 Pcs Veg Kuruma,,35,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta Special,,0,,3,1
KUMBAKONATHAR TIFFEN STALL,Veechu Parotta,,35,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta Special,,0,,3,2
KUMBAKONATHAR TIFFEN STALL,Bun Parotta,,35,,,,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta Special,,0,,3,3
